Date,Close
1-04-2019,25.65
2-04-2019,25.32
3-04-2019,25.4
4-04-2019,25.7
5-04-2019,25.38
8-04-2019,24.2
9-04-2019,23.7
10-04-2019,24.24
11-04-2019,23.4
12-04-2019,23.25
15-04-2019,22.7
16-04-2019,22.73
17-04-2019,21.92
18-04-2019,23.8
22-04-2019,23.11
23-04-2019,23.89
24-04-2019,23.13
25-04-2019,23.17
26-04-2019,23
29-04-2019,23
30-04-2019,22.78
2-05-2019,22.56
3-05-2019,23.69
6-05-2019,23.3
7-05-2019,23.5
8-05-2019,24.52
9-05-2019,24.84
10-05-2019,25.5
13-05-2019,23.71
14-05-2019,23.05
15-05-2019,22.66
16-05-2019,20.98
17-05-2019,20.5
20-05-2019,20.85
21-05-2019,22.3
22-05-2019,23.55
23-05-2019,23.64
24-05-2019,24.86
27-05-2019,25.5
28-05-2019,26.49
29-05-2019,26.49
30-05-2019,27.09
31-05-2019,26.98
3-06-2019,27.31
4-06-2019,28.11
5-06-2019,28.27
6-06-2019,29.25
7-06-2019,29.98
10-06-2019,30.87
11-06-2019,30.95
12-06-2019,30.67
13-06-2019,30.81
14-06-2019,30.32
17-06-2019,31
18-06-2019,31.95
19-06-2019,32.82
21-06-2019,32.2
24-06-2019,31.93
25-06-2019,31.4
26-06-2019,31.45
27-06-2019,31.61
28-06-2019,32.6
